Experiment,Episode,Loss,Accuracy
# Convnext_run_1
1,0,0.7079949378967285,0.1666666716337204
1,100,0.023192023858428,1.0
1,200,0.002108611399307847,1.0
1,300,0.009447547607123852,1.0
1,400,3.4212458558613434e-05,1.0
# Convnext_run_2
1,0,0.6264923214912415,1.0
1,100,0.3792492151260376,0.8333333730697632
1,200,0.6385141015052795,0.8333333730697632
1,300,0.6540415287017822,0.6666666865348816
1,400,0.7449715733528137,0.1666666716337204
# Mobilenet_run_1
1,0,0.6766307950019836,0.6666666865348816
1,100,0.38543736934661865,0.6666666865348816
1,200,0.0,1.0
1,300,0.0,1.0
1,400,0.0,1.0
1,0,0.6918423771858215,0.6666666865348816
1,100,5.4874373745406047e-05,1.0
1,200,5.900842097616987e-06,1.0
1,300,8.940692737269273e-07,1.0
1,400,6.099520305724582e-06,1.0
# Efficientnet_run_1
1,0,0.691916286945343,0.5
1,100,0.013689364306628704,1.0
1,200,0.00014151097275316715,1.0
1,300,1.1722239605660434e-06,1.0
1,400,1.3311693010109593e-06,1.0
# Resnet50_run_1
1,0,0.6962372660636902,0.5
1,100,0.006520212162286043,1.0
1,200,0.006978197488933802,1.0
1,300,2.4954135369625874e-05,1.0
1,400,0.005498107988387346,1.0
Experiment,Episode,Phase,Loss,Accuracy
# Resnet50_run_2
1,0,Train,0.6851224899291992,0.3333333432674408
1,100,Train,0.004794273059815168,1.0
1,200,Train,6.925815978320315e-05,1.0
1,300,Train,8.662504114909098e-06,1.0
1,400,Train,2.8411504899850115e-06,1.0
1,500,Train,2.417932410025969e-05,1.0
1,600,Train,3.5782013583229855e-05,1.0
1,700,Train,3.1987774491426535e-06,1.0
1,800,Train,1.966951458598487e-06,1.0
1,900,Train,6.669536378467456e-05,1.0
1,1000,Val,2.783525296177203e-07,1.0
1,1000,Test,2.26498695773,0.8755
# efficientnet_run_2
2,0,Train,0.6854912638664246,0.6666666865348816
2,100,Train,4.152448582317447e-06,1.0
2,200,Train,1.5894560192464269e-06,1.0
2,300,Train,4.5914333895780146e-05,1.0
2,400,Train,1.3907749973895989e-07,1.0
2,500,Val,0.017888754766796036,0.99075
2,500,Test,0.027934606734410786,0.98975
# Convnext_run_3
3,0,Train,0.6519712805747986,1.0
3,100,Train,0.027771733701229095,1.0
3,200,Train,0.007945663295686245,1.0
3,300,Train,3.198769491064013e-06,1.0
3,400,Train,0.39887240529060364,0.8333333730697632
3,500,Val,1.6843840253035305,0.68025
3,500,Test,3.061050288413273,0.64375
# mobilenet_run_2
4,0,Train,0.7028450965881348,0.3333333432674408
4,100,Train,0.019888244569301605,1.0
4,200,Train,9.457213309360668e-06,1.0
4,300,Train,8.066358532232698e-06,1.0
4,400,Train,8.352239819942042e-05,1.0
4,500,Val,1.6213283863486212,0.872
4,500,Test,0.4975613735962596,0.91975
# regnety_run_1
5,0,Train,0.6820717453956604,0.6666666865348816
5,100,Train,5.076198431197554e-05,1.0
5,200,Train,3.3775961583160097e-07,1.0
5,300,Train,1.768255424394738e-05,1.0
5,400,Train,4.776203786605038e-05,1.0
5,500,Val,0.07034821559018395,0.978
5,500,Test,0.11632224253645312,0.964
